0,1,2,3,4,5,6,7,8,9,10
268,112,103,86,89,53,88,41,86,57,21
7,6,5,10,4,7,8,2,4,6,39
28,75,51,41,44,55,36,61,40,45,3
0,1,0,2,0,0,0,5,1,3,30
0,2,0,4,5,7,1,18,1,16,2
0,1,0,0,1,0,1,2,1,0,5
0,0,1,0,0,1,0,0,0,0,3
0,0,2,2,1,1,0,0,1,0,0
0,0,1,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,1,0,0,1
2,0,0,0,1,0,1,0,0,1,1
1,0,1,0,3,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
1,1,2,2,0,0,0,1,0,0,1
2,0,1,2,2,1,0,1,0,0,0
0,2,0,3,0,0,1,0,3,0,0
9,0,0,0,0,0,0,0,0,0,0
149,4,7,8,0,0,2,1,0,0,0
15,30,39,53,2,0,26,5,19,1,0
90,84,4,4,22,5,4,36,57,3,0
1,4,81,54,65,23,53,6,3,24,1
2,46,2,2,1,47,2,35,28,2,1
0,0,11,8,29,2,21,6,2,53,5
1,5,2,1,2,20,0,25,6,4,14
0,0,1,2,2,10,2,0,2,26,18
0,0,1,1,0,4,0,4,0,0,1
0,0,1,1,2,1,0,0,0,5,22
0,1,0,2,0,1,0,0,0,1,1
0,0,0,2,1,0,0,1,0,0,22
0,1,1,0,1,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,1,9
0,2,0,3,0,3,1,0,0,1,1
0,1,2,4,2,0,0,0,0,1,1
2,1,1,1,0,1,1,1,0,0,1
0,2,2,1,2,0,0,1,0,0,1
4,0,3,1,0,0,0,0,0,0,1
72,1,5,9,0,0,0,0,0,0,0
8,12,29,36,1,2,0,0,0,0,0
96,32,87,2,3,2,0,1,0,0,1
5,58,2,48,20,16,0,4,0,0,0
60,4,12,4,59,20,1,8,0,0,0
0,45,3,22,2,29,1,28,2,1,0
1,0,2,4,25,1,12,3,7,6,1
0,8,1,3,0,22,28,42,40,23,0
0,2,0,2,2,11,4,3,6,4,2
0,0,0,0,1,0,34,14,43,38,7
1,0,2,2,1,0,4,1,1,1,24
0,0,0,0,2,1,17,0,12,29,0
1,0,2,2,0,1,1,1,2,0,34
0,1,0,0,2,0,0,1,0,4,3
0,0,3,3,0,0,2,0,0,0,18
