0,1,2,3,4
499,306,157,36,6
50,32,14,2,0
231,167,59,17,5
26,10,3,2,1
19,22,12,3,0
4,2,2,3,0
3,1,1,0,0
3,3,1,0,0
1,2,0,0,0
0,0,0,0,0
5,2,0,0,0
3,0,2,0,1
1,2,2,0,0
0,1,0,0,0
5,3,0,0,0
6,2,1,0,0
2,1,5,1,0
5,2,2,0,0
85,57,26,2,1
95,64,26,5,0
167,90,40,10,2
159,113,35,6,2
80,49,32,7,0
65,47,20,5,0
38,24,12,6,0
29,23,8,3,0
7,4,0,0,0
20,7,5,0,0
3,2,0,1,0
14,8,2,2,0
1,2,1,1,0
7,2,2,0,0
5,3,2,1,0
4,4,3,0,0
2,4,2,0,1
2,5,1,0,1
5,1,3,0,0
44,30,12,1,0
44,27,12,5,0
123,72,24,4,1
81,44,24,3,1
84,55,27,2,0
72,39,17,5,0
37,15,7,3,0
78,56,30,3,0
18,10,6,1,1
71,47,19,0,0
17,14,6,0,0
30,22,7,1,1
24,10,7,3,0
2,7,1,1,0
14,11,1,0,0
