0,1,2,3,4,5,6,7,8,9,10
302,122,116,100,94,66,94,49,92,60,23
8,6,7,10,4,7,8,5,7,7,48
34,85,58,49,48,64,43,70,43,53,3
0,2,0,2,0,0,0,5,1,3,38
0,2,0,5,5,13,1,18,1,18,2
0,1,0,1,1,0,1,2,1,0,5
0,0,1,0,0,1,0,0,0,0,3
0,0,2,2,1,1,0,0,1,0,0
0,0,1,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,1,0,0,1
2,0,0,0,1,0,1,0,0,1,1
1,0,1,0,3,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
1,1,2,2,0,0,0,1,0,0,1
2,0,1,2,2,1,0,1,0,0,0
0,2,0,3,0,0,1,0,3,0,0
10,0,0,0,0,0,0,0,0,0,0
169,6,8,10,0,0,3,1,1,0,0
17,33,44,60,2,0,30,6,22,1,0
104,95,6,4,29,5,4,43,65,3,0
1,4,88,60,78,25,67,6,4,27,1
2,58,2,2,1,55,4,41,32,2,3
0,0,14,10,30,2,26,6,2,56,6
1,5,2,1,2,24,0,27,7,4,16
0,0,1,2,2,10,2,0,2,31,23
0,0,1,1,0,4,0,4,1,0,3
0,0,1,1,2,1,0,0,0,7,25
0,1,0,2,0,1,0,0,0,1,1
0,0,0,2,1,0,0,1,0,0,23
0,1,1,0,1,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,1,9
0,2,0,3,0,3,1,0,0,1,1
0,1,2,4,3,0,0,0,0,1,1
2,1,1,1,0,1,1,1,0,0,1
0,2,2,1,2,0,0,1,0,0,1
5,0,3,1,1,0,0,0,0,0,1
81,2,6,11,0,0,0,0,0,0,0
9,12,32,46,1,2,0,0,0,0,0
106,33,104,2,3,4,0,1,0,0,1
6,64,2,51,21,18,0,5,0,0,0
67,4,12,4,67,22,1,9,0,0,0
0,50,3,24,4,34,1,35,2,1,0
1,1,2,5,33,1,12,4,8,6,1
1,9,1,3,0,25,34,44,45,27,0
0,3,0,2,2,12,4,3,6,4,2
0,0,0,0,1,0,39,20,49,46,8
1,0,2,2,1,0,5,2,2,1,26
0,0,0,0,2,1,19,0,13,36,1
1,0,2,2,0,1,1,2,2,1,41
0,1,0,0,2,0,0,1,0,4,4
0,0,3,3,0,0,2,0,0,0,19
