0,1,2,3,4,5,6,7,8,9,10
9,2,2,2,2,3,3,4,2,2,1
4,4,1,4,1,1,0,0,0,0,3
28,12,17,15,6,16,9,12,9,5,1
0,2,1,0,0,0,1,1,1,1,13
0,1,1,2,0,4,0,3,0,4,1
0,0,0,1,0,4,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0
2,1,1,3,0,0,2,0,2,0,0
25,10,1,1,1,0,1,3,4,0,0
2,0,11,7,14,1,6,1,1,0,0
3,13,0,1,2,5,4,6,6,0,1
0,2,5,5,4,0,12,1,2,3,1
0,1,0,0,0,5,1,5,3,0,1
0,0,0,0,0,3,0,0,0,5,5
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,2,6
0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0
1,1,1,5,0,0,0,0,0,0,0
19,0,13,0,0,0,0,0,0,0,0
0,3,1,9,0,3,0,1,0,0,0
7,0,6,1,5,2,0,0,0,0,0
0,7,0,1,0,2,0,4,0,0,0
1,2,0,1,11,1,0,0,0,0,0
0,2,0,1,2,4,3,6,3,2,0
1,1,0,0,1,2,1,0,0,0,0
0,0,0,0,0,1,2,4,6,4,0
0,0,0,0,0,0,0,3,0,3,2
0,0,0,0,0,0,7,1,4,9,0
0,0,0,0,0,0,1,1,1,0,7
0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,2
