0,1,2,3,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0,0
128,99,44,10,1
395,225,117,26,6
253,179,68,18,4
46,32,15,6,1
5,1,2,0,0
3,3,0,3,0
1,0,1,0,0
3,3,1,0,0
1,2,0,0,0
0,0,0,0,0
5,2,0,0,0
3,0,2,0,1
1,2,2,0,0
0,1,0,0,0
5,2,0,0,0
6,1,0,0,0
0,1,3,0,0
2,2,2,1,0
6,2,3,0,0
84,56,26,2,1
130,82,34,8,1
194,122,42,9,0
159,104,40,10,3
68,38,33,8,0
55,40,15,4,0
14,16,5,2,0
14,11,3,0,0
12,6,2,1,0
19,5,4,1,0
11,8,2,2,0
6,3,3,1,0
5,1,1,0,0
4,3,2,1,0
4,5,2,0,0
1,2,3,0,0
1,4,0,0,1
1,1,1,0,1
9,2,1,0,0
24,14,4,3,0
108,73,25,4,0
111,71,30,3,1
111,56,24,6,1
72,44,30,3,0
57,27,9,2,0
42,25,13,4,0
43,30,19,2,0
58,41,19,0,0
