0,1,2,3,4,5,6,7,8,9,10
5,3,0,1,1,2,2,3,1,1,0
3,3,0,3,0,1,0,0,0,0,3
22,10,13,15,5,14,9,12,8,6,0
0,1,0,0,0,0,0,0,0,0,13
0,0,1,1,0,4,0,2,0,4,0
0,0,0,1,0,2,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,1,0,0
0,1,2,3,0,0,1,0,1,0,0
19,6,0,0,1,0,1,2,4,0,0
1,0,6,7,12,0,6,0,0,1,0
1,13,0,0,1,4,3,5,7,1,1
0,0,4,4,3,0,8,0,1,1,1
0,1,0,0,0,5,0,5,3,0,1
0,0,0,0,0,2,0,0,0,4,4
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0
1,1,1,3,0,0,0,0,0,0,0
17,0,14,0,0,0,0,0,0,0,0
0,2,1,10,0,2,0,1,0,0,0
5,0,3,0,4,1,0,0,0,0,0
1,6,0,2,0,2,0,4,0,0,0
0,1,0,0,10,0,0,0,0,0,0
1,1,0,1,0,5,2,5,3,2,0
0,1,0,0,1,1,1,0,0,0,0
0,0,0,0,0,1,1,4,5,5,0
0,0,0,0,0,0,0,2,0,0,1
0,0,0,0,0,0,8,1,4,7,0
0,0,0,0,0,0,0,1,0,0,5
0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,3
