0,1,2,3,4,5,6,7,8,9
87,149,158,389,368,125,193,113,56,49
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,0,0
15,29,28,62,65,29,21,19,7,7
41,76,82,185,160,55,86,56,16,12
29,51,46,121,119,33,64,33,19,7
6,8,4,18,25,6,15,2,2,4
0,4,1,4,4,0,3,1,0,0
0,1,0,2,1,0,1,0,1,0
0,1,0,0,0,1,0,1,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
1,0,0,2,1,1,0,0,1,0
0,0,0,0,0,0,0,0,2,0
0,0,0,1,0,1,0,0,0,0
0,0,0,1,2,1,1,0,0,0
0,0,1,1,2,0,0,1,0,0
0,0,1,0,2,0,1,1,1,1
0,0,0,0,0,0,0,1,0,0
1,1,0,2,4,0,0,0,1,0
1,0,0,1,2,3,0,0,0,0
1,2,1,2,5,3,3,2,0,0
10,15,18,46,38,18,14,4,3,3
16,29,23,65,56,22,22,17,5,0
20,47,43,84,80,16,48,20,4,4
14,29,36,69,78,27,31,14,5,5
12,18,9,41,36,13,14,10,2,0
8,8,7,21,26,7,12,7,5,2
3,2,4,14,9,4,5,2,2,1
1,4,5,3,3,2,4,0,0,0
0,2,0,8,7,6,2,1,1,0
1,2,1,11,7,1,1,0,2,1
0,5,1,5,4,1,3,3,0,0
1,1,2,1,4,1,3,0,1,0
0,1,0,1,1,1,1,0,0,0
0,0,0,1,2,0,1,0,0,0
1,0,1,2,3,0,1,0,0,1
0,0,1,2,2,0,1,1,0,0
