0,1,2,3,4
54,45,22,13,8
4,3,2,0,0
31,25,18,7,3
1,0,0,0,0
1,2,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7,9,3,0,2
7,6,5,1,0
31,25,15,10,1
7,2,0,1,1
15,17,6,1,2
8,6,2,2,0
6,2,1,1,0
0,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
4,0,0,0,0
1,1,2,1,0
1,0,1,0,0
1,1,0,1,0
4,3,1,1,0
13,14,4,2,0
11,5,5,2,0
15,19,7,1,2
7,7,2,3,0
2,2,6,2,0
3,7,2,1,2
3,3,5,0,0
6,2,2,1,0
3,1,1,0,0
0,0,0,0,0
1,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
