0,1,2,3,4
13,10,9,4,3
11,9,2,0,1
54,49,27,14,6
6,3,0,0,1
6,3,4,2,0
1,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,1,1,0,0
2,3,1,0,1
22,21,14,4,1
10,4,3,4,2
18,26,6,5,1
10,5,3,2,1
13,5,3,1,0
4,3,1,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,1,0,0
2,1,1,0,0
2,0,2,1,0
1,1,0,1,0
0,0,0,0,0
12,12,2,3,0
5,5,2,2,0
14,13,7,0,1
8,9,5,2,0
10,10,5,2,1
5,8,6,2,1
3,0,3,1,1
5,4,2,0,0
3,1,3,1,0
1,0,0,0,0
2,1,0,1,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
