0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
22,35,37,94,75,38,28,19,8,5
39,79,55,167,172,51,95,49,19,10
23,45,56,109,103,30,53,27,14,12
7,5,9,28,20,7,6,7,1,1
0,2,2,1,1,1,0,0,0,0
0,0,0,1,0,0,1,0,0,0
0,0,0,2,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,1,0,3,3,1,1,0,0
1,0,1,1,2,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,2,0,2,0,0
0,1,0,1,0,0,1,0,0,0
0,1,1,0,1,0,0,0,0,0
1,0,0,0,2,1,0,1,0,0
2,1,4,9,3,4,2,2,1,2
17,17,20,61,49,14,18,13,4,0
27,51,45,108,99,34,43,19,8,5
15,36,26,85,83,19,37,13,8,3
14,22,27,62,65,23,25,19,3,1
6,15,10,26,23,2,10,5,1,1
0,4,4,3,6,1,1,0,0,1
0,1,2,3,1,0,0,2,1,0
0,0,1,1,2,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,2,1,1,1,0,0
0,1,0,0,1,3,0,1,0,0
1,3,1,4,1,2,0,0,0,0
1,3,4,6,5,1,6,2,0,0
1,0,5,3,8,3,4,0,2,0
0,5,4,7,7,1,3,0,0,0
1,3,0,7,2,2,1,1,1,0
1,0,4,3,1,2,3,2,1,0
1,1,2,2,2,1,0,3,0,0
5,10,5,24,22,5,10,3,2,0
14,25,22,48,38,19,10,5,2,1
10,15,23,39,39,6,10,10,2,0
18,37,24,74,62,16,35,17,3,3
16,20,18,54,53,17,21,9,1,0
5,14,12,28,33,8,10,10,3,0
3,9,9,18,25,6,10,4,3,0
1,4,9,27,11,5,3,3,2,0
3,1,2,12,7,1,2,4,1,0
2,2,1,18,12,2,4,0,0,1
