0,1,2,3,4,5,6,7,8,9
2,3,1,9,8,3,6,4,4,1
0,1,2,1,1,3,1,1,1,0
2,4,9,17,23,6,15,14,15,11
0,0,1,2,1,1,0,0,0,0
0,1,1,5,3,1,3,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,2,0,1,0
1,1,0,0,1,0,1,1,0,0
1,4,5,10,9,7,6,7,3,1
1,0,1,3,3,1,1,3,2,1
2,3,1,7,3,7,11,6,2,4
1,1,1,2,1,1,2,1,2,0
1,0,1,3,5,0,2,2,0,1
0,0,1,0,2,1,3,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0
0,0,0,0,1,0,0,0,1,2
0,0,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,3,5,6,3,2,3,1,1
0,1,0,2,4,0,1,0,1,2
1,1,6,6,7,5,6,1,2,0
2,0,2,3,5,1,2,0,1,1
0,2,1,4,3,2,6,3,0,2
0,2,3,2,3,3,2,1,1,0
0,1,0,1,2,0,1,1,0,1
0,2,2,0,4,1,0,0,0,0
0,1,0,0,2,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,2,0,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
