0,1,2,3,4
15,12,10,4,0
6,5,0,0,0
45,39,21,10,1
3,1,0,0,1
4,3,5,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,1,0,0
2,2,1,0,0
21,19,10,2,1
6,2,2,4,2
15,22,6,3,0
7,3,1,1,0
8,4,2,1,0
4,2,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,1,0,0
3,1,0,0,0
0,0,1,0,0
1,1,0,1,0
0,1,0,0,0
10,10,2,2,0
5,3,1,2,0
16,9,9,0,1
3,9,3,2,0
7,7,6,2,1
5,7,3,1,1
3,0,3,1,0
5,3,1,0,0
1,1,3,0,0
1,0,0,0,0
2,2,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
