0,1,2,3,4
808,536,241,72,20
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
158,127,61,12,3
372,228,106,25,5
244,147,60,18,3
42,29,11,8,1
2,0,0,0,0
2,2,0,1,0
1,0,0,0,0
0,1,1,0,0
1,1,0,0,0
1,1,0,0,0
0,0,0,0,0
0,0,1,1,0
4,0,0,1,0
1,4,1,1,0
0,1,2,0,1
0,1,1,0,0
3,4,0,0,0
2,2,1,0,0
14,8,5,3,0
102,73,35,3,0
226,134,65,14,1
163,107,48,6,1
131,84,32,11,3
53,33,9,4,0
6,5,1,2,0
3,4,2,0,0
5,1,1,1,0
3,0,1,0,0
0,0,0,0,0
3,2,0,0,0
6,6,1,1,0
10,9,3,2,2
15,6,3,1,0
16,10,2,2,0
8,8,2,2,0
