0,1,2,3,4,5,6,7,8,9
55,113,101,272,247,90,135,86,32,32
7,7,8,19,15,5,10,2,3,2
31,51,54,133,132,41,63,41,27,20
2,1,1,2,4,2,1,1,1,0
1,3,7,14,13,3,6,4,4,0
0,0,0,1,3,0,1,1,1,2
1,2,4,2,1,2,1,1,0,0
0,0,1,2,1,0,1,1,1,0
1,2,1,3,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0
0,1,0,1,1,0,1,1,0,0
0,0,1,1,0,1,1,0,0,0
0,2,0,1,2,0,1,1,0,0
0,2,0,1,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0
0,1,1,0,2,1,4,0,0,0
0,0,0,0,1,0,0,0,0,0
1,4,2,7,7,1,3,4,0,0
11,25,27,54,54,17,19,10,5,6
10,23,18,56,51,14,26,13,2,5
29,48,37,93,103,33,40,25,12,12
11,23,16,53,37,15,18,19,9,1
15,21,21,65,45,20,12,20,14,4
3,11,11,27,20,5,13,1,2,2
6,7,7,22,32,7,12,5,2,2
3,3,6,8,6,2,5,2,2,1
5,3,8,16,19,3,8,5,2,2
1,1,0,3,4,0,1,1,1,0
3,4,6,14,10,2,10,3,2,1
0,1,1,4,1,4,1,1,0,0
1,2,3,3,5,2,5,1,0,1
0,1,2,2,1,0,1,1,0,0
0,2,2,1,1,2,1,1,0,1
0,1,0,0,2,0,3,1,0,0
0,1,0,0,3,1,1,0,0,0
0,0,1,2,1,1,2,0,0,0
0,0,1,0,0,0,0,1,0,0
2,4,0,2,4,0,0,0,1,0
9,6,2,10,10,5,3,1,1,1
9,22,16,38,50,13,13,11,4,1
6,20,18,30,24,5,8,7,1,1
23,37,36,85,67,22,28,19,11,1
6,19,12,39,43,10,18,11,5,2
12,18,17,49,58,17,18,10,4,3
11,16,13,37,33,11,14,2,1,3
4,7,8,32,26,9,16,6,2,0
3,10,9,32,16,9,10,2,2,1
3,11,8,18,15,4,7,5,3,1
0,3,4,13,4,0,4,3,0,0
5,2,4,14,9,2,8,2,0,1
0,1,3,3,4,0,0,0,0,0
