0,1,2,3,4,5,6,7,8,9
52,110,92,256,225,74,104,67,23,21
7,6,6,17,12,4,9,1,2,2
29,47,45,114,115,35,42,33,19,10
2,1,1,2,4,2,1,0,1,0
1,3,5,13,12,2,5,4,4,0
0,0,0,1,3,0,1,1,1,1
1,2,4,2,1,2,1,1,0,0
0,0,1,2,1,0,1,1,1,0
1,2,1,3,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0
0,1,0,1,1,0,1,1,0,0
0,0,1,1,0,1,1,0,0,0
0,2,0,1,2,0,1,1,0,0
0,2,0,1,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0
0,1,1,0,2,1,4,0,0,0
0,0,0,0,1,0,0,0,0,0
0,3,1,7,7,1,3,2,0,0
9,25,25,51,50,14,15,8,4,4
10,22,18,53,48,10,23,10,2,2
28,47,33,91,94,29,32,18,7,4
10,22,13,47,35,15,14,16,4,0
15,19,19,61,39,17,11,13,9,1
3,11,11,25,14,5,12,1,1,1
6,7,6,19,31,6,10,2,1,0
3,3,6,7,5,2,4,1,2,0
5,3,8,13,15,3,7,4,1,1
0,1,0,3,4,0,1,1,1,0
2,4,6,14,9,0,9,2,2,0
0,1,1,4,1,4,1,0,0,0
1,2,3,2,5,1,4,0,0,1
0,1,2,2,1,0,1,1,0,0
0,2,1,1,1,2,1,1,0,1
0,1,0,0,2,0,3,1,0,0
0,1,0,0,3,1,1,0,0,0
0,0,1,2,1,1,1,0,0,0
0,0,1,0,0,0,0,0,0,0
2,4,0,2,4,0,0,0,1,0
8,6,2,10,9,5,3,0,1,0
9,20,14,37,45,8,10,10,3,0
6,20,15,30,22,4,7,5,1,1
22,35,35,77,57,18,22,12,7,0
5,18,11,37,39,9,15,7,3,1
12,17,16,47,51,15,16,7,4,2
11,15,12,36,33,9,11,2,1,3
4,6,8,29,23,8,10,6,1,0
3,10,8,27,15,9,8,1,2,1
3,10,7,17,14,4,6,4,2,1
0,3,4,11,4,0,3,3,0,0
5,2,4,14,8,2,8,2,0,0
0,1,3,3,4,0,0,0,0,0
