0,1,2,3,4
544,374,179,52,14
36,28,10,4,0
292,179,87,26,9
9,3,2,1,0
31,17,5,2,0
6,3,0,0,0
6,7,1,0,0
3,1,3,0,0
5,2,2,0,0
0,0,0,0,0
0,1,1,0,0
3,2,0,0,0
4,0,0,0,0
6,0,1,0,0
3,2,0,0,0
0,0,1,0,0
3,6,0,0,0
1,0,0,0,0
11,9,6,3,0
116,77,29,5,1
109,69,30,10,0
209,147,57,13,6
106,62,25,8,1
107,75,43,12,0
56,21,15,2,1
56,29,14,3,0
17,13,7,1,0
38,19,12,2,0
8,2,1,1,0
24,18,11,2,0
6,6,1,0,0
12,7,1,3,0
5,0,0,2,1
3,5,1,2,0
2,3,2,0,0
4,1,1,0,0
3,1,3,0,0
0,2,0,0,0
10,1,2,0,0
25,14,7,2,0
82,57,30,6,2
66,39,13,2,0
161,106,49,11,2
89,49,21,6,0
115,65,23,3,0
72,43,21,5,0
56,38,14,2,0
44,31,15,4,0
42,22,9,2,0
16,7,6,2,0
18,16,11,1,1
6,4,1,0,0
