0,1,2,3,4,5,6,7,8,9
3,3,9,16,22,16,31,19,9,11
0,1,2,2,3,1,1,1,1,0
2,4,9,19,17,6,21,8,8,10
0,0,0,0,0,0,0,1,0,0
0,0,2,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,2,0,0
2,0,2,3,4,3,4,2,1,2
0,1,0,3,3,4,3,3,0,3
1,1,4,2,9,4,8,7,5,8
1,1,3,6,2,0,4,3,5,1
0,2,2,4,6,3,1,7,5,3
0,0,0,2,6,0,1,0,1,1
0,0,1,3,1,1,2,3,1,2
0,0,0,1,1,0,1,1,0,1
0,0,0,3,4,0,1,1,1,1
1,0,0,0,0,0,0,0,0,0
1,0,0,0,1,2,1,1,0,1
0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,1
0,2,2,1,5,5,3,1,1,1
0,0,3,0,2,1,1,2,0,0
1,2,1,8,10,4,6,7,4,1
1,1,1,2,4,1,3,4,2,1
0,1,1,2,7,2,2,3,0,1
0,1,1,1,0,2,3,0,0,0
0,1,0,3,3,1,6,0,1,0
0,0,1,5,1,0,2,1,0,0
0,1,1,1,1,0,1,1,1,0
0,0,0,2,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
