0,1,2,3,4,5,6,7,8,9,10
37,17,21,10,8,9,6,8,8,11,4
5,3,0,0,0,1,1,0,1,1,0
5,12,6,15,10,14,7,12,10,5,8
0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,0,1,0,1,1,0,1
0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0
9,1,2,9,2,0,0,0,0,0,0
1,8,0,0,0,5,0,1,3,2,0
19,1,6,4,12,0,0,1,0,5,1
2,8,0,0,0,7,0,1,6,0,2
9,0,3,2,4,1,0,8,0,6,0
0,0,0,0,0,3,0,0,2,0,6
0,0,0,1,0,0,0,4,1,8,0
0,0,1,0,0,0,1,0,0,0,3
0,0,0,0,0,0,7,2,0,2,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,7,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,1,0,0
6,0,2,1,8,0,0,0,4,0,0
0,1,4,3,0,0,0,0,0,1,0
15,3,0,0,5,1,0,2,11,6,1
0,6,6,6,0,0,0,0,0,0,2
6,0,0,0,1,1,0,6,3,2,0
0,2,5,1,0,0,0,0,0,0,0
0,1,0,0,1,4,4,3,0,2,0
0,5,1,0,0,0,0,0,0,0,4
0,0,0,0,0,5,2,0,0,0,0
0,0,0,0,1,0,0,0,0,0,2
0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
