0,1,2,3,4,5,6,7,8,9
1,1,4,3,6,6,8,7,5,5
0,1,0,2,3,2,6,2,0,1
3,4,9,22,29,13,31,16,13,14
0,2,4,6,3,1,0,2,0,0
1,0,5,5,1,1,9,2,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,1,2,3,1,1,0,3,0,0
1,0,0,0,1,2,1,2,0,1
1,0,2,1,10,7,9,3,4,7
0,3,2,5,3,1,6,3,2,3
1,1,6,4,4,1,2,12,10,4
1,0,0,5,5,1,2,1,1,3
0,1,0,4,4,2,2,2,0,1
0,0,1,1,3,0,1,1,0,1
0,0,0,2,2,0,1,2,2,2
1,0,0,1,0,0,1,0,0,0
0,0,0,1,4,1,1,1,0,0
1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,1,1,2,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
1,1,1,1,2,3,3,1,0,0
0,0,0,0,2,3,1,0,1,1
0,2,2,5,8,1,2,3,4,1
2,2,3,2,4,1,2,5,1,2
0,0,1,4,9,4,5,6,0,1
0,1,2,2,2,2,3,3,1,0
0,2,0,3,3,1,6,0,1,0
0,0,0,3,3,1,2,1,0,0
0,0,0,1,0,0,3,1,1,0
0,1,2,4,0,0,1,0,0,0
0,0,0,0,2,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
