0,1,2,3,4,5,6,7,8,9
60,124,113,297,260,103,143,96,45,38
2,0,0,0,2,0,1,0,0,0
18,22,35,85,77,23,44,21,12,7
0,0,0,0,0,1,0,0,0,0
1,4,7,8,9,1,2,3,2,2
0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
2,10,3,10,9,3,3,5,0,2
19,37,31,72,89,20,32,16,10,10
15,26,16,58,48,19,28,17,4,3
23,47,45,97,91,31,33,28,11,9
6,18,16,54,31,12,18,10,8,1
11,15,10,44,39,16,11,15,9,3
3,3,9,17,15,6,10,1,2,1
3,2,6,17,17,3,9,2,5,2
3,4,4,7,8,1,3,4,0,1
5,4,10,18,20,3,8,5,0,1
0,1,0,1,1,0,0,0,0,0
3,2,3,12,5,3,8,4,2,1
0,0,0,0,1,0,0,0,0,0
0,1,2,2,1,2,1,0,0,0
0,1,0,0,0,0,0,1,0,0
0,0,1,0,1,0,0,0,0,0
0,2,0,0,1,1,0,1,0,0
0,0,0,0,0,0,2,0,0,0
0,0,1,1,0,0,1,0,0,0
0,1,0,0,0,0,0,1,0,0
2,1,1,0,4,0,1,0,0,0
11,9,4,14,18,6,4,2,2,1
9,32,30,60,60,19,20,14,7,1
6,26,18,41,34,8,13,12,5,2
24,26,28,73,64,21,25,18,5,3
6,17,9,30,31,10,15,7,3,2
10,14,13,48,50,14,20,8,5,1
8,14,14,38,33,9,13,2,1,2
3,13,9,33,27,5,11,3,1,0
3,7,6,21,9,8,9,3,2,1
2,6,7,16,11,3,6,4,2,1
0,3,3,8,2,0,1,1,0,0
5,1,2,8,8,2,8,5,0,1
0,1,3,3,3,0,1,0,0,0
