0,1,2,3,4,5,6,7,8,9,10
299,152,138,99,96,96,71,95,92,98,43
1,0,0,0,0,1,1,0,0,2,0
5,41,14,42,35,33,52,31,32,23,36
0,0,1,0,0,0,0,0,0,0,0
0,2,0,3,3,2,3,1,2,1,22
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
10,4,15,13,4,0,0,0,1,0,0
106,36,58,69,34,20,0,0,13,0,0
0,92,1,1,2,50,0,6,67,11,4
150,1,66,51,75,0,0,26,1,36,9
0,49,1,0,0,44,0,0,36,1,43
34,0,12,3,19,1,0,57,0,47,0
0,4,0,0,0,12,0,0,5,0,46
0,1,1,1,1,0,0,32,2,28,0
1,1,3,0,1,1,22,0,0,0,6
0,0,1,0,0,0,65,5,2,1,0
0,0,0,0,0,0,0,2,0,0,1
0,0,0,0,0,0,43,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,8,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0
0,0,0,3,0,2,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1
0,0,2,0,0,0,0,0,0,0,0
1,0,0,4,2,0,0,0,2,0,0
18,3,3,24,13,0,0,0,10,0,0
123,15,17,0,45,0,0,1,50,1,0
3,42,47,48,0,4,0,9,0,10,2
105,2,0,0,56,28,0,31,39,22,4
0,53,35,32,0,0,0,1,0,0,9
17,0,0,0,10,41,0,42,18,55,0
0,48,40,19,0,0,3,0,0,0,24
1,0,0,0,5,29,25,26,4,15,0
1,11,9,5,0,0,0,1,0,0,42
0,0,0,0,1,14,36,6,0,0,1
0,0,1,0,0,0,0,0,0,0,17
0,0,0,0,0,1,39,0,0,0,0
0,1,1,1,0,0,0,2,0,0,6
