0,1,2,3,4
616,395,189,62,17
3,2,0,0,0
167,111,48,13,5
1,0,0,0,0
21,14,3,1,0
0,0,0,0,0
3,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
22,15,7,3,0
173,111,42,8,2
114,76,32,11,1
198,140,55,18,4
93,50,24,7,0
78,54,36,5,0
38,17,9,2,1
37,19,10,0,0
19,8,7,1,0
37,23,11,3,0
2,1,0,0,0
20,13,9,1,0
1,0,0,0,0
5,3,0,1,0
2,0,0,0,0
0,1,1,0,0
2,3,0,0,0
2,0,0,0,0
0,1,2,0,0
1,1,0,0,0
5,3,1,0,0
39,20,9,2,1
115,90,38,7,2
87,50,22,6,0
143,90,45,8,1
75,34,17,4,0
98,64,18,3,0
66,40,21,7,0
55,34,13,3,0
36,22,10,1,0
30,17,9,2,0
11,4,2,1,0
18,12,10,0,0
4,5,1,1,0
