0,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
6,3,6,3,2,1,0,2,4,2,0
253,107,116,70,76,68,62,72,78,73,3
40,71,30,59,53,51,64,50,37,43,33
1,4,2,5,4,7,9,2,5,4,37
0,0,0,0,0,0,0,0,0,0,24
0,1,1,1,0,0,3,0,0,1,9
1,1,1,0,1,1,0,0,0,0,2
1,1,3,0,0,0,0,0,1,0,0
0,0,0,2,0,1,0,2,2,1,1
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,2,0,1,0,0,1
0,0,1,1,0,0,0,1,1,0,0
0,1,1,2,0,0,1,0,1,0,1
1,0,0,1,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,1,0,0
0,0,1,3,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0
3,21,10,7,4,0,0,0,9,0,1
63,77,45,43,19,10,0,1,51,0,3
135,57,65,57,70,42,0,1,47,6,0
62,13,24,19,26,39,0,15,8,27,5
0,2,2,0,7,20,0,47,1,39,28
3,1,0,1,2,3,0,39,1,29,49
0,0,3,0,1,0,0,10,3,2,15
0,0,0,0,0,0,16,2,0,0,3
1,0,1,0,1,1,45,1,0,0,0
0,0,0,0,0,0,50,0,0,0,0
1,1,1,3,1,0,10,2,1,1,0
1,1,1,2,1,2,2,0,0,1,0
0,1,1,4,0,0,0,0,0,1,0
1,1,2,1,0,3,1,1,0,1,0
0,0,1,3,0,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,2
1,0,0,2,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,2,0,0,1,1,1,0
0,2,1,1,0,0,0,0,1,1,1
9,0,0,0,7,0,0,1,7,1,0
74,11,12,17,28,1,0,0,35,0,0
127,2,2,40,55,2,1,4,38,4,1
30,30,25,34,21,1,0,1,20,16,2
2,50,41,23,4,20,0,26,3,48,0
0,48,32,6,0,37,0,31,2,27,9
