0,1,2,3,4,5,6,7,8,9,10
305,195,153,144,134,132,127,127,126,124,105
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
6,3,6,3,2,1,0,2,4,2,0
253,107,116,70,76,68,62,72,78,73,3
40,71,30,59,53,51,64,50,37,43,33
0,4,1,2,1,7,9,2,5,4,37
1,0,1,3,3,0,0,0,0,0,24
0,0,0,0,0,0,3,0,0,1,9
0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,2
0,1,0,1,0,0,0,0,1,0,0
1,1,3,0,1,1,0,0,0,0,0
1,0,1,1,0,0,0,0,2,1,0
0,0,0,1,0,1,0,2,0,0,1
0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,0,2,0,0,1,0,1
0,0,1,1,0,0,1,1,1,0,0
0,0,1,3,0,0,0,0,1,0,1
1,1,0,0,1,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0
0,1,2,4,1,0,0,0,0,0,0
3,21,10,7,4,1,0,0,9,0,0
63,77,45,43,19,10,0,0,51,0,1
135,57,65,57,70,42,0,2,47,6,3
62,13,24,4,26,39,0,15,8,27,5
0,2,2,15,1,20,0,47,0,39,28
0,0,0,0,6,3,0,39,1,29,49
0,1,0,0,0,0,0,1,0,0,15
3,0,0,0,3,0,16,9,1,2,1
0,0,3,1,0,0,45,0,0,0,2
0,0,0,0,0,0,50,2,3,0,0
1,0,0,0,1,0,1,1,0,0,0
0,0,1,0,0,1,9,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,2,1,1,1,0
1,2,2,3,1,0,0,1,0,1,0
