0,1,2,3,4
29,29,12,14,7
40,28,14,8,6
16,19,11,1,1
1,0,0,0,0
1,0,0,0,0
0,1,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,3,0,0,1
9,3,2,1,0
10,4,3,2,0
7,11,5,3,1
3,1,1,2,0
0,1,0,1,0
7,3,4,0,0
11,5,3,2,0
3,2,2,0,2
2,1,1,0,0
8,7,3,1,1
6,6,5,2,0
3,1,3,3,0
5,3,3,1,1
3,2,1,1,0
3,1,3,0,0
1,1,0,0,0
0,3,1,1,0
0,1,0,0,0
0,0,1,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,1,0,0
