0,1,2,3,4,5,6,7,8,9
1,2,1,4,2,1,3,3,0,2
0,1,2,11,5,5,8,6,6,4
1,6,6,10,16,4,15,14,4,12
0,2,4,7,2,1,5,0,1,0
0,0,1,2,2,2,4,3,3,1
0,0,0,2,1,1,1,2,2,2
0,1,0,2,5,0,1,0,1,1
0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,1,2,1,1,0,1,0,0
0,1,2,1,4,5,6,3,4,4
0,0,0,1,0,0,0,1,0,0
0,0,1,0,2,0,0,1,0,0
0,0,0,0,2,1,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,0,0,1,0,1,1,0,0
1,1,0,1,2,2,2,0,0,1
0,0,0,1,1,1,0,0,0,0
0,3,2,5,2,2,4,1,1,1
1,0,1,2,8,0,3,3,0,1
0,0,2,5,1,1,1,3,0,2
0,0,0,1,0,0,2,2,1,0
0,0,0,3,3,0,5,2,3,1
0,2,1,0,5,2,6,3,5,1
1,1,2,4,2,1,0,2,1,0
0,2,0,1,1,1,2,2,0,1
0,0,0,0,1,0,0,1,1,0
0,0,0,2,2,1,0,0,1,1
0,0,0,1,1,0,1,1,0,1
1,0,0,2,4,1,2,1,2,2
0,0,1,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
