0,1,2,3,4,5,6,7,8,9,10
35,111,120,101,22,63,14,18,20,12,19
0,10,4,14,73,7,0,0,0,48,0
279,7,9,5,52,67,68,1,0,63,58
4,5,50,5,7,1,6,73,0,2,40
27,80,1,37,0,11,4,7,1,3,3
0,1,1,1,0,0,41,46,0,1,0
0,0,1,0,0,0,0,4,0,11,1
1,0,1,6,0,0,13,0,0,0,0
0,2,0,2,0,0,1,0,0,0,1
0,0,1,0,0,0,2,0,0,1,2
0,0,0,1,0,0,0,2,0,0,0
0,1,1,2,0,0,0,3,73,0,0
0,1,1,2,0,1,0,2,2,1,1
0,0,1,4,0,0,2,1,49,1,0
1,0,1,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0
0,0,3,1,0,0,1,0,0,0,1
0,2,2,2,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,1,0,0
0,1,1,1,1,0,1,1,1,2,1
1,1,0,1,2,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1,0
0,1,1,1,0,1,0,0,1,2,0
0,0,0,2,0,0,0,0,1,0,1
0,1,0,1,0,0,0,0,1,0,1
4,3,1,2,0,0,1,2,1,0,0
81,0,0,1,0,1,0,1,0,1,1
137,1,0,0,1,1,0,0,1,1,0
77,1,0,3,1,0,1,1,0,0,0
6,1,0,0,0,0,1,0,2,1,0
0,0,0,0,0,1,0,6,0,1,3
0,0,6,1,0,5,3,42,0,0,11
0,0,0,0,0,14,0,1,1,0,14
0,0,0,0,0,1,1,5,0,3,0
1,0,35,0,0,1,0,3,0,27,0
0,1,4,0,0,2,23,3,0,3,15
1,0,48,1,1,2,52,45,0,3,1
1,0,5,4,2,1,5,6,0,50,29
2,15,48,46,1,18,5,19,2,31,25
0,2,19,92,2,44,36,1,1,3,7
0,62,7,23,28,40,0,1,0,0,3
0,5,1,0,39,2,6,1,0,0,0
0,2,0,0,0,8,0,6,1,0,0
1,4,0,6,1,1,1,1,10,0,2
0,91,0,1,2,0,0,0,41,1,1
0,3,1,1,3,0,1,0,64,2,1
0,10,2,3,42,1,1,0,4,0,1
0,1,0,0,2,1,1,0,2,0,2
1,1,1,1,1,1,2,0,2,0,0
0,0,1,0,13,0,1,1,6,0,0
0,0,1,0,0,1,0,1,0,0,0
