0,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,1,0,0,2,0
6,141,0,0,0,94,4,0,0,45,0
267,8,5,0,0,6,6,0,0,4,4
7,39,4,0,4,33,51,0,0,2,42
19,0,9,0,72,5,61,0,7,5,47
1,2,2,0,2,0,4,0,65,0,8
0,0,2,0,44,0,0,6,53,2,0
0,0,1,5,0,0,0,50,0,50,0
1,0,84,73,5,0,0,8,0,2,2
0,0,4,5,0,0,0,64,6,12,1
0,0,48,6,3,1,0,0,1,1,0
0,0,5,36,1,0,0,4,0,0,0
0,2,0,2,1,1,0,0,0,0,0
2,0,0,1,0,1,1,2,1,0,0
0,0,3,7,0,2,0,3,0,0,2
0,0,1,0,0,0,0,1,1,0,0
0,0,0,0,0,2,0,0,0,0,1
1,1,1,0,0,0,1,0,0,0,0
0,1,0,0,1,2,0,0,1,1,2
0,0,0,1,0,1,0,0,2,2,3
0,0,0,4,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1
1,1,0,3,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,2,0,0,1,0
0,0,0,0,1,1,0,0,0,0,0
1,0,1,2,1,0,1,0,0,0,0
2,0,1,1,0,0,15,0,0,0,0
0,1,4,0,0,0,61,1,0,0,0
0,0,0,0,1,0,42,0,1,0,0
1,1,0,2,0,0,1,0,0,0,0
58,1,0,0,0,0,0,3,0,0,1
169,0,0,1,0,0,1,0,0,0,3
6,8,1,3,2,1,0,0,0,2,0
2,65,1,4,2,2,0,2,0,1,12
1,3,1,2,0,1,1,8,0,0,1
2,81,0,0,0,0,0,34,0,3,27
2,3,0,0,0,0,1,60,0,23,2
15,22,0,0,0,1,2,9,0,59,1
1,1,0,0,1,1,1,1,0,26,26
0,1,0,2,1,7,0,0,8,3,19
3,0,2,0,2,39,1,3,0,0,0
0,0,0,0,6,49,2,0,0,0,0
0,0,0,0,3,22,1,3,1,0,0
0,2,0,12,37,1,0,0,23,0,0
1,1,9,53,2,0,0,0,4,0,0
