0,1,2,3,4
6,3,3,1,1
21,22,15,5,4
7,8,7,3,3
8,5,6,3,1
16,13,13,4,0
5,3,4,2,1
7,5,3,0,1
1,0,0,0,0
1,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6,5,2,1,0
0,0,0,0,1
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
2,1,1,1,0
2,1,0,0,1
0,0,0,0,0
4,0,4,1,0
3,0,2,2,0
9,5,3,0,1
12,6,5,1,3
14,6,5,4,0
21,7,5,4,1
6,5,1,0,0
7,8,2,2,0
4,1,1,0,0
8,8,0,2,1
4,2,0,1,1
1,1,4,1,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,1,0,0
2,3,0,0,0
