0,1,2,3,4
326,211,101,27,5
341,219,95,20,6
48,27,11,3,1
71,44,27,8,1
29,21,7,2,0
10,6,6,2,0
1,0,0,0,0
2,1,0,1,0
3,0,0,0,0
1,0,1,0,0
5,4,0,0,1
2,4,1,0,1
2,2,1,0,0
2,1,1,0,0
5,3,2,0,0
5,3,2,0,0
3,0,1,0,0
1,1,1,0,0
2,1,0,0,0
1,1,0,1,0
6,1,0,1,0
2,4,1,0,0
2,2,2,0,0
4,1,2,0,0
1,2,0,0,0
4,1,0,0,0
5,3,1,1,0
4,3,2,0,0
9,3,1,0,0
29,25,5,1,0
117,74,30,9,1
63,53,16,3,0
25,14,2,1,1
64,41,18,5,0
67,36,27,5,1
46,27,6,3,0
29,17,9,0,0
25,8,4,0,0
86,65,32,4,1
73,52,17,3,2
37,23,13,2,2
36,20,9,3,0
41,15,7,6,1
8,8,4,1,0
1,1,0,0,0
2,2,0,0,0
20,7,4,2,1
3,0,4,0,0
9,5,2,0,0
4,3,2,0,0
5,2,0,0,0
2,5,1,0,1
