0,1,2,3,4,5,6,7,8,9,10
0,1,3,1,0,2,2,3,2,2,2
11,2,15,10,4,4,12,7,0,11,7
5,1,0,0,10,0,0,3,1,0,0
0,13,0,7,1,4,4,0,6,0,0
24,2,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,3,0,1,0
0,0,6,0,0,0,4,4,0,4,0
0,0,11,0,0,0,1,0,0,5,0
0,0,1,0,0,0,0,1,0,2,0
0,8,0,1,0,0,6,0,1,0,0
0,13,0,0,0,0,3,8,0,0,0
0,1,0,6,0,0,0,0,3,0,0
0,0,0,8,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
9,1,0,0,3,0,0,0,2,0,0
21,0,0,2,5,0,0,0,0,0,0
0,0,0,1,3,5,0,0,0,0,0
2,0,0,0,0,8,0,0,0,0,0
5,0,0,0,1,2,0,0,0,0,7
0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,2
