0,1,2,3,4
9,8,6,7,2
29,11,12,6,2
14,14,6,4,2
6,10,6,4,0
4,1,1,0,0
0,1,0,2,0
6,3,1,2,0
2,3,1,1,2
0,1,1,0,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
4,1,0,1,0
2,3,1,1,0
4,3,0,1,0
1,0,0,0,0
1,1,0,0,0
2,1,0,0,0
0,0,0,0,0
0,0,1,0,0
1,2,0,1,0
4,2,2,0,0
12,8,4,1,1
0,0,3,0,0
19,12,6,3,0
5,0,4,0,0
4,2,1,2,0
7,4,3,0,0
5,7,5,1,0
4,6,6,0,0
6,6,1,0,0
0,0,0,0,0
1,0,0,0,0
3,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,1,0,0
