0,1,2,3,4,5,6,7,8,9,10
41,110,11,62,20,55,79,17,59,17,15
0,84,0,65,0,4,0,0,5,0,0
0,0,42,8,0,49,4,43,4,48,37
240,0,4,0,72,1,2,11,43,51,1
4,0,82,0,36,16,35,4,16,1,42
1,1,1,1,2,11,1,4,1,7,1
12,0,0,0,1,2,0,4,0,0,0
0,2,1,0,0,2,2,37,0,0,1
0,0,9,1,0,0,0,2,0,0,0
0,0,0,1,0,0,0,7,0,0,2
0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,1,0,1,0,2,1,5
0,0,0,1,0,2,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0
0,3,1,1,0,2,0,1,0,0,0
2,1,0,3,0,0,3,0,1,0,0
0,0,1,1,0,2,1,0,0,0,0
2,1,3,2,0,0,1,0,1,0,0
1,0,0,0,0,0,0,0,2,0,1
1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,1,0,1,0,0
1,0,0,1,1,0,1,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0
0,0,0,1,2,1,0,2,0,0,0
0,0,0,2,0,2,0,1,0,0,2
1,0,2,0,0,0,0,0,0,0,0
0,1,2,1,0,1,0,0,1,2,1
0,0,0,0,2,1,0,1,0,0,0
2,1,2,2,6,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,2,0
0,1,0,0,1,0,0,0,1,1,0
14,6,3,0,35,0,1,1,5,1,1
6,56,2,5,56,5,0,0,0,6,0
3,3,2,27,1,0,0,0,18,29,2
2,88,3,4,13,24,0,0,1,50,2
0,3,2,1,3,5,4,0,28,1,0
1,16,3,2,1,55,0,0,37,18,2
176,0,37,3,2,2,0,0,7,3,0
10,0,6,52,0,29,0,0,2,5,0
8,0,68,4,1,10,1,4,0,1,1
5,0,15,21,0,0,0,0,21,2,1
38,1,1,3,1,3,1,21,1,1,1
1,0,2,1,1,0,0,3,2,1,1
2,3,0,1,0,0,27,1,6,0,1
0,0,0,1,0,0,40,45,1,0,0
0,0,0,2,0,0,1,32,0,1,0
0,0,0,2,0,0,35,2,1,0,8
0,0,0,0,0,0,7,1,1,1,30
1,0,0,0,0,0,0,0,0,0,4
