0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
3,9,9,13,17,4,8,5,2,4
6,11,13,38,27,11,19,5,6,2
7,18,14,35,21,10,17,8,5,3
19,33,22,66,63,16,33,23,3,8
11,23,21,53,66,20,21,15,7,2
20,42,43,89,83,32,36,28,10,10
9,9,25,38,29,19,19,11,9,4
5,16,8,33,28,10,13,3,2,1
0,0,0,4,6,2,0,0,0,0
7,2,3,17,9,4,5,2,1,0
0,1,0,2,2,0,1,2,1,0
0,0,0,0,1,0,1,0,0,0
4,4,6,13,8,0,8,2,2,0
0,0,0,0,3,0,0,0,0,0
1,0,0,1,2,0,0,0,0,0
0,0,0,1,1,1,0,0,1,0
0,0,1,0,0,0,1,1,0,0
0,1,0,1,2,0,0,1,0,0
0,0,0,0,1,1,0,0,0,0
0,1,0,3,2,2,2,0,0,0
0,0,0,1,2,0,0,1,0,0
2,1,0,0,1,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0
0,1,1,4,1,1,2,0,0,0
0,1,1,1,0,0,0,0,0,0
1,1,0,1,2,0,0,0,1,0
1,1,2,1,1,0,1,0,0,0
0,2,0,2,0,0,1,0,1,0
0,0,0,3,2,0,0,1,1,0
0,1,0,0,0,0,0,2,1,0
2,5,3,6,10,2,0,2,3,0
2,2,4,8,4,2,2,0,2,0
2,3,1,5,2,1,0,1,1,0
10,23,29,53,41,22,23,9,5,3
7,11,4,28,26,9,4,6,3,0
1,3,4,9,6,6,3,2,3,0
5,3,3,17,18,3,6,2,2,0
5,4,10,20,20,6,5,3,3,1
10,19,16,44,34,13,19,10,5,1
9,11,4,22,14,4,6,6,0,0
8,14,12,33,33,9,15,5,5,0
10,20,19,49,48,13,22,15,1,3
2,4,2,12,9,5,2,1,0,1
2,9,14,25,16,10,12,6,3,1
3,3,3,4,5,2,3,0,1,0
2,5,7,11,11,3,3,2,2,0
8,7,10,24,29,7,13,5,4,2
1,5,7,7,9,0,1,1,0,0
