0,1,2,3,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
13,2,1,0,0
9,2,3,0,1
34,13,11,1,0
17,10,2,1,0
83,72,29,4,0
95,75,38,8,1
27,16,3,3,0
285,180,89,27,5
71,51,19,2,1
56,30,12,3,2
76,50,19,6,0
6,3,2,0,0
9,6,1,0,0
29,20,8,3,0
3,3,0,1,0
2,2,0,0,0
6,3,0,0,0
0,1,0,0,0
3,3,1,1,0
2,0,1,0,0
4,2,0,1,0
1,2,0,1,0
0,1,1,0,0
1,2,0,0,1
1,2,0,1,0
1,2,1,0,0
5,0,0,0,0
2,1,2,0,0
4,3,0,0,0
2,1,0,0,0
7,2,2,0,0
20,19,7,1,0
3,2,1,0,0
25,21,8,2,0
51,34,16,1,0
48,39,12,3,0
83,62,26,6,1
33,21,14,2,0
11,3,3,0,0
79,44,27,4,0
25,15,8,1,0
53,27,9,1,0
11,7,2,1,0
52,30,16,1,0
79,46,12,5,1
20,26,5,3,0
37,26,5,5,1
48,30,8,4,0
