0,1,2,3,4,5,6,7,8,9
31,58,58,173,141,68,66,47,26,20
9,15,19,37,40,14,14,14,6,7
17,35,35,73,77,16,48,28,6,9
11,18,20,47,30,17,22,12,5,6
15,18,18,34,49,11,32,12,7,7
5,9,9,19,16,7,14,4,2,1
1,8,6,14,12,3,5,2,3,2
1,5,5,12,11,2,8,4,3,0
2,8,2,18,24,8,3,8,7,2
7,3,5,14,10,0,6,5,0,0
0,3,1,5,4,0,1,1,0,0
0,2,0,1,1,0,0,0,0,0
0,0,0,4,2,0,1,1,0,0
0,0,1,4,0,0,0,2,0,1
1,0,0,3,1,0,1,1,0,0
0,0,0,0,1,0,0,0,0,0
0,2,1,1,2,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0
0,0,2,1,1,1,1,0,1,0
1,0,2,0,2,1,1,1,0,0
1,0,1,2,2,1,1,0,0,0
0,0,0,0,2,0,0,0,0,0
0,2,1,2,2,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,2,1,1,0,0,0,0
0,1,0,0,0,0,2,3,0,0
2,6,3,3,6,1,1,0,1,2
2,8,11,13,16,4,5,2,2,2
1,5,6,15,11,6,11,4,0,2
1,2,1,9,6,2,2,3,0,1
7,10,15,23,23,11,6,6,5,1
12,23,14,42,35,17,17,15,3,3
0,1,5,6,7,0,2,0,0,0
6,16,7,25,25,7,20,7,2,3
1,3,2,8,10,2,2,0,2,1
3,6,5,14,12,2,4,2,1,0
11,15,26,51,36,12,12,9,3,1
5,13,10,36,24,8,15,19,5,4
11,17,16,48,37,9,20,13,7,1
14,13,13,40,32,11,20,9,5,2
7,7,11,34,30,10,17,6,1,2
1,4,2,6,6,0,0,2,1,1
5,12,11,22,31,9,10,8,2,0
2,8,2,12,14,1,7,3,2,0
2,1,0,5,6,3,1,4,1,0
7,9,11,24,24,11,15,7,2,3
0,4,3,4,7,2,4,0,1,1
0,1,2,2,0,0,0,1,0,0
4,1,0,0,1,1,2,0,0,0
1,0,1,2,1,0,1,3,0,1
0,1,0,3,3,0,2,1,0,0
1,1,2,1,0,0,3,1,0,0
