0,1,2,3,4,5,6,7,8,9
24,49,54,127,115,39,56,39,23,18
18,30,24,64,64,29,42,16,16,10
11,23,13,41,43,7,20,15,6,7
3,7,11,23,12,9,8,3,3,1
18,35,46,95,80,31,53,37,11,8
3,5,2,6,20,7,6,2,0,2
0,2,0,7,1,1,3,1,0,0
2,8,7,17,21,3,4,9,4,0
0,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,3,2,7,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,5,6,19,12,4,7,4,3,2
3,7,7,4,16,4,7,2,0,2
0,2,1,2,0,0,1,0,0,2
7,7,8,16,18,8,3,5,4,4
10,23,22,50,46,22,15,14,3,5
3,2,2,15,12,5,4,5,2,0
5,8,5,17,14,7,13,5,2,1
3,4,6,20,22,6,11,8,6,1
5,8,7,30,23,5,10,10,1,2
5,8,14,32,27,6,15,11,3,1
8,11,7,27,24,6,7,7,4,2
8,12,11,30,24,5,11,7,3,0
12,26,25,52,49,17,29,18,3,2
11,19,13,50,41,18,19,7,1,6
1,1,2,7,10,1,2,3,0,1
3,5,7,8,10,1,6,5,2,0
6,8,9,15,11,4,11,4,2,1
0,0,1,2,1,0,0,0,1,0
0,0,0,2,3,0,1,1,0,0
1,6,14,16,15,3,5,1,1,1
0,4,1,1,2,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0
0,0,0,5,7,0,0,1,0,0
