0,1,2,3,4,5,6,7,8,9,10
0,20,0,0,0,11,5,9,0,8,0
0,9,0,15,0,10,2,9,8,7,1
0,0,0,10,0,3,0,3,11,3,8
32,0,0,0,0,0,9,0,0,0,3
2,0,0,0,0,0,2,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,13,0,10,0,0,0,0,0,0
0,0,1,0,9,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,0
0,7,0,0,0,1,0,0,0,0,0
0,2,0,1,0,4,0,0,1,0,0
0,0,0,10,0,10,0,0,7,0,1
0,0,0,5,0,1,0,0,2,0,1
0,0,0,1,0,0,4,0,2,0,8
0,0,0,0,0,2,6,0,0,0,1
0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,2,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,14,0,7,0,0,0,0,0,0
0,2,0,0,4,0,0,0,0,0,0
0,1,0,0,0,0,0,4,0,0,0
0,4,11,0,1,0,0,0,0,0,0
0,8,6,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,1,0,0,0
0,0,0,8,0,0,0,0,1,0,0
0,0,0,3,0,0,1,0,3,0,0
0,0,0,0,0,0,0,0,4,0,0
15,0,0,0,0,0,4,0,1,1,0
22,0,0,0,0,0,0,10,3,3,0
2,0,0,0,0,1,3,1,0,6,0
6,0,0,0,0,0,5,1,0,5,0
0,0,0,0,0,2,0,0,0,2,0
0,0,2,0,0,5,0,0,0,0,0
