0,1,2,3,4
799,534,256,78,21
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
26,23,4,2,1
63,43,14,6,1
191,103,40,9,2
205,119,62,16,2
57,27,18,6,1
16,8,2,1,0
5,4,3,1,0
21,11,9,1,1
6,4,0,0,1
1,2,1,0,0
2,0,0,0,0
2,1,0,0,0
0,0,1,0,1
2,0,0,1,0
0,0,1,0,0
5,3,4,3,0
2,4,1,0,0
3,3,0,0,0
0,1,2,0,0
2,4,0,0,0
2,3,0,0,0
6,9,1,0,1
44,27,7,2,1
67,46,14,3,1
44,34,23,4,1
65,39,17,5,0
58,28,14,6,0
40,20,10,2,0
24,15,7,1,0
54,34,15,5,0
15,12,3,0,0
17,9,4,0,0
12,6,1,0,0
3,3,2,0,0
3,1,2,1,0
