0,1,2,3,4,5,6,7,8,9
50,94,75,218,187,69,85,64,24,19
24,37,54,125,102,27,52,23,13,11
6,4,6,10,17,2,3,3,1,0
0,4,0,2,2,1,0,0,0,1
2,5,5,6,14,3,9,5,3,0
7,16,14,32,30,11,17,5,2,2
2,5,4,19,16,5,7,4,1,2
1,1,0,3,6,1,3,1,0,0
0,1,0,2,0,0,1,0,0,0
0,1,0,1,3,1,0,1,0,0
0,0,0,1,3,0,1,1,0,0
0,0,1,2,0,0,1,1,0,0
0,0,1,0,0,0,0,0,1,0
2,1,1,1,1,1,0,0,0,0
0,0,0,4,1,0,0,0,0,1
0,2,0,1,2,1,0,1,0,0
0,0,2,3,1,0,1,0,0,0
1,0,1,3,0,1,0,0,0,0
1,3,5,9,7,1,1,2,0,1
5,17,9,28,31,10,12,10,1,0
13,25,18,52,46,13,19,11,2,2
6,11,17,22,18,4,8,1,4,3
8,2,8,16,17,2,3,5,1,1
2,0,7,9,14,7,5,4,1,1
2,9,8,18,9,1,8,3,1,1
5,5,8,30,24,10,15,6,2,0
1,9,7,13,11,7,11,2,0,0
0,3,2,14,9,3,2,0,1,1
1,3,2,6,7,1,3,1,0,0
0,2,4,5,6,3,5,1,1,0
0,1,4,9,3,0,2,1,0,1
0,0,0,2,0,0,1,0,0,0
1,1,2,3,3,0,2,1,0,0
4,10,2,9,8,4,3,4,1,2
2,3,5,9,17,5,4,2,3,0
3,8,3,17,15,1,7,4,0,1
0,1,3,15,19,4,4,4,5,1
2,6,3,12,4,4,5,2,0,0
4,4,8,22,19,5,7,2,1,1
6,14,14,25,39,12,5,6,1,2
2,2,1,3,2,3,3,0,0,0
10,22,19,45,37,7,18,11,0,1
9,6,5,21,13,4,4,2,5,0
5,7,13,33,26,7,8,5,1,0
3,9,17,26,18,5,10,3,2,1
2,4,6,14,6,4,11,1,2,0
2,11,6,19,15,7,5,2,1,0
14,24,22,45,36,15,12,10,1,2
8,8,6,20,23,9,5,6,2,1
2,2,2,10,7,4,5,0,1,2
0,5,4,10,6,1,3,2,1,0
2,2,6,11,9,4,6,0,3,0
