0,1,2,3,4
151,76,31,12,4
172,103,58,17,3
134,109,41,14,5
121,68,39,11,4
7,6,1,0,0
6,3,0,1,0
2,3,0,0,0
4,2,0,0,0
3,0,0,0,0
14,16,5,2,0
152,138,58,15,4
27,17,14,4,1
0,0,0,0,0
0,0,0,0,0
0,0,1,1,0
1,0,0,0,0
0,0,1,0,0
1,1,0,0,0
3,0,1,0,0
9,3,0,0,0
17,9,0,1,0
24,20,6,2,0
26,10,8,2,1
9,8,2,0,0
3,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,0,0,0
0,2,3,0,0
16,6,4,2,0
17,7,4,3,0
2,0,0,0,0
19,9,3,2,1
0,0,0,0,0
29,14,2,2,0
0,2,0,0,0
19,7,3,0,0
71,38,20,4,1
34,24,11,2,0
66,31,12,2,0
25,19,4,3,1
7,7,3,2,0
24,9,13,0,0
25,13,7,0,0
28,22,15,8,0
16,14,2,0,0
15,16,5,1,1
2,1,0,0,0
0,0,0,0,0
0,0,1,0,0
1,0,0,0,0
