0,1,2,3,4
177,113,49,17,4
92,63,30,8,2
260,179,84,20,6
56,31,14,6,2
43,31,14,3,2
76,40,21,8,4
7,6,2,3,0
10,1,1,0,0
5,6,3,3,0
8,5,2,1,0
6,4,1,0,0
3,1,3,1,1
5,2,0,0,0
5,2,1,0,1
4,6,1,0,0
5,3,1,2,0
1,3,2,1,0
2,2,0,0,0
0,1,0,0,0
7,3,1,0,1
1,3,1,0,0
4,6,0,0,0
17,10,7,2,0
6,6,1,1,0
86,45,14,4,1
9,11,9,0,1
45,25,12,5,1
5,2,4,0,0
16,8,5,0,0
6,4,1,2,0
6,4,2,0,0
3,3,1,0,1
6,3,4,0,0
2,0,1,0,0
7,4,1,1,0
3,2,0,0,0
4,7,2,2,0
8,5,1,1,0
5,1,1,0,0
2,3,1,1,0
0,1,0,0,0
7,3,2,1,0
7,4,3,2,0
5,5,1,2,0
26,12,6,1,1
36,16,11,3,0
11,12,8,2,0
8,2,1,0,0
10,4,5,1,0
75,57,24,6,0
1,3,2,0,1
27,21,5,2,1
