0,1,2,3,4,5,6,7,8,9
78,151,157,381,366,126,186,124,56,47
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,2,1,0,2,1,0
8,17,11,39,22,10,18,9,2,1
1,1,0,4,0,0,2,0,0,0
2,6,4,7,13,1,0,4,0,0
0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
3,1,2,5,5,2,3,2,2,2
15,26,25,59,50,28,20,15,8,3
4,2,3,9,10,1,5,1,3,0
3,5,10,17,19,4,5,5,3,0
1,3,4,11,12,5,7,2,0,0
2,1,1,0,1,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
2,4,2,6,6,4,3,0,0,0
6,8,4,22,9,5,10,7,0,0
1,6,8,17,15,1,6,4,0,0
0,1,2,6,1,0,0,0,0,1
1,0,1,5,1,1,1,0,0,0
9,13,6,17,11,9,7,2,0,0
8,6,11,33,23,10,8,6,2,1
1,10,12,14,22,8,6,3,5,2
3,3,0,4,7,3,2,3,2,0
4,3,9,18,17,2,7,1,1,1
1,2,4,4,8,4,0,0,1,0
1,0,0,2,2,1,0,0,0,0
0,0,0,1,1,0,0,1,0,0
