0,1,2,3,4,5,6,7,8,9
18,46,43,87,104,28,47,26,7,7
11,24,22,58,57,23,25,16,4,5
3,6,9,7,9,3,5,3,0,2
5,8,3,31,18,3,9,5,6,0
0,2,3,2,4,1,2,2,0,0
0,1,0,3,1,0,0,0,0,0
1,0,0,4,2,1,0,0,0,0
0,0,0,2,6,3,1,0,0,0
25,42,49,105,84,31,39,25,9,8
4,12,8,23,17,10,15,3,2,2
5,7,9,24,19,6,13,5,4,1
2,5,2,5,5,1,0,3,0,1
1,0,1,0,1,1,2,0,1,0
0,2,3,0,3,0,1,1,0,1
0,0,1,2,3,2,0,0,1,0
2,0,0,1,2,2,1,1,0,1
0,1,0,2,3,2,0,0,0,0
1,0,0,2,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0
0,1,0,3,1,3,2,0,0,0
0,0,1,2,1,0,0,0,0,0
9,7,12,38,29,9,16,9,3,2
2,2,3,3,5,0,2,1,1,0
3,8,7,13,17,1,4,4,0,0
9,15,8,39,21,7,16,6,4,0
0,1,1,3,3,0,0,0,0,0
1,2,3,3,2,2,2,2,1,0
0,1,0,0,2,2,1,0,0,1
0,2,0,2,1,0,1,0,0,0
0,0,0,0,2,0,1,1,1,0
1,0,2,0,2,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,2,0,0,0,0
1,1,2,3,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0
0,2,0,3,0,0,1,1,0,1
0,0,2,2,4,0,1,0,0,0
1,0,1,0,2,1,0,1,0,0
1,2,2,0,2,0,0,1,1,0
1,3,3,6,7,0,0,1,1,0
4,10,8,22,20,5,3,3,0,0
4,9,3,14,9,2,9,5,0,0
3,2,1,3,3,2,4,2,0,0
0,1,0,0,3,0,0,0,0,0
0,0,0,0,2,0,1,0,0,0
0,1,1,1,1,1,0,0,0,0
0,0,2,1,2,0,0,0,1,1
0,1,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0
