0,1,2,3,4,5,6,7,8,9,10
39,121,18,52,44,62,14,17,20,14,12
0,55,1,68,67,54,0,0,0,0,0
0,2,0,17,16,11,0,1,0,0,0
0,0,2,0,0,0,1,48,0,1,36
3,0,1,1,0,0,0,4,1,0,6
0,0,0,1,0,0,1,1,0,0,2
0,0,0,0,0,0,0,5,1,0,2
0,1,2,2,0,0,0,1,0,4,2
235,0,102,0,1,1,0,38,0,0,40
3,0,35,0,0,0,48,2,0,1,7
3,2,0,0,2,2,9,3,72,0,0
4,1,2,0,0,0,8,1,6,1,1
0,1,0,0,0,0,1,2,2,1,0
0,0,0,2,1,1,2,1,2,0,2
1,0,0,1,1,0,1,1,3,0,1
1,0,1,1,0,0,1,1,1,2,2
1,0,0,0,0,0,1,0,3,2,1
1,0,0,1,0,0,0,1,0,2,0
0,0,0,0,0,0,0,0,1,0,0
2,0,2,2,0,0,1,0,1,1,1
0,1,1,0,0,0,1,0,1,0,0
0,0,0,0,0,0,39,0,18,77,0
1,8,0,0,1,1,2,0,1,3,2
0,49,0,1,0,0,2,1,1,3,0
4,92,1,2,0,0,1,1,0,23,1
0,5,0,0,0,0,0,3,0,0,0
0,7,2,1,0,1,1,1,1,2,2
0,2,1,0,0,0,2,0,0,2,0
0,1,3,0,0,0,0,1,0,0,1
0,3,0,0,0,0,0,1,0,0,1
0,0,1,0,1,0,1,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,2,0,0,1,1,0,0,0
0,4,1,0,1,1,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0
0,3,1,1,0,2,0,0,0,1,0
0,1,1,3,2,1,1,0,0,0,0
0,1,0,0,0,2,1,0,1,1,0
0,0,1,0,0,0,7,0,0,0,1
0,19,1,0,0,1,0,1,0,0,0
0,75,0,0,0,0,0,0,0,0,0
0,51,0,1,1,0,2,0,0,0,0
1,12,0,2,0,1,2,0,0,1,1
0,0,0,2,0,0,1,0,1,0,0
0,3,0,0,0,0,0,0,0,0,0
0,0,2,2,0,0,0,0,1,0,0
1,1,0,2,1,0,0,0,0,2,0
0,0,0,0,0,0,0,1,1,1,0
0,0,0,1,0,0,0,0,0,0,0
