0,1,2,3,4,5,6,7,8,9,10
39,138,18,65,54,69,14,17,20,14,12
0,74,1,80,78,66,0,0,0,0,0
0,3,0,18,19,12,0,1,0,0,0
1,0,2,0,0,0,1,56,0,1,42
3,0,1,1,0,0,0,5,1,0,6
0,0,0,1,0,0,1,2,0,0,2
0,0,0,0,0,0,0,5,1,0,3
0,1,2,2,0,0,0,2,0,4,2
281,0,122,0,1,1,0,46,0,0,45
5,0,41,0,0,0,52,2,0,1,7
4,2,0,0,2,2,9,3,85,0,0
5,1,2,0,0,0,8,1,6,1,1
0,1,0,0,0,0,1,2,3,1,0
0,0,0,2,1,1,2,1,2,0,2
1,0,0,1,1,0,1,1,3,0,1
1,0,1,1,0,0,1,1,1,2,2
1,0,0,0,0,0,2,0,3,2,1
1,0,0,1,0,0,0,1,0,2,0
0,0,0,0,0,0,1,0,1,1,0
2,0,2,2,0,0,1,0,1,1,1
0,1,1,0,0,0,1,0,1,0,0
0,0,0,0,0,0,42,0,22,87,0
1,8,0,0,1,1,2,0,1,6,2
0,55,0,1,0,0,2,1,1,3,0
5,102,1,2,0,0,1,1,0,24,1
0,6,0,0,0,0,0,4,0,0,0
0,9,2,1,0,1,1,1,1,2,2
0,2,1,0,0,0,2,0,0,2,0
0,1,3,0,0,0,0,1,0,0,1
0,3,0,0,0,0,1,1,0,0,1
0,0,1,0,1,0,1,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,2,0,0,1,1,0,0,0
0,4,1,0,1,1,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0
0,3,1,1,0,2,0,0,0,1,0
0,1,1,3,2,1,1,0,0,0,0
0,1,0,0,0,2,1,0,1,1,0
0,0,1,0,0,0,9,0,0,0,1
0,19,1,0,0,1,0,1,0,0,0
0,82,0,0,0,0,0,0,0,0,0
0,55,0,1,1,0,2,0,0,0,0
1,12,0,2,0,1,2,0,0,1,1
0,0,0,2,0,0,1,0,1,0,0
0,3,0,0,0,0,0,0,0,0,0
0,0,2,2,0,0,0,0,1,0,0
1,1,0,2,1,0,0,0,0,2,0
0,0,0,0,0,0,0,1,1,1,0
0,0,0,1,0,0,0,0,0,0,0
