0,1,2,3,4,5,6,7,8,9
16,36,37,84,76,30,50,34,8,12
7,24,26,55,54,16,23,14,9,8
1,3,4,5,6,4,5,4,1,0
6,13,9,47,32,7,12,10,8,2
1,2,0,0,1,2,2,1,1,0
2,0,2,2,1,1,2,0,0,0
1,0,0,2,3,2,3,1,1,0
0,1,2,3,1,1,0,1,0,0
28,49,39,108,105,39,41,33,17,18
5,7,12,18,21,9,12,7,2,1
5,8,9,23,18,5,17,6,5,2
0,0,0,1,1,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0
0,0,0,1,0,1,0,1,0,0
0,0,0,2,0,0,1,0,0,0
0,0,0,2,2,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,1,1,1,1,1,1,0
0,0,0,0,0,0,1,0,0,0
0,0,0,2,1,0,0,0,0,0
10,10,12,32,26,9,20,9,3,4
0,1,3,3,5,0,0,1,0,0
5,11,8,24,15,4,9,7,0,1
5,12,5,26,17,5,14,6,2,0
1,0,1,0,1,1,0,0,0,0
0,1,2,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0
0,0,1,1,0,0,0,0,1,1
2,4,3,14,6,2,2,2,1,0
4,13,9,19,22,5,5,5,0,0
3,5,3,12,5,1,10,2,0,0
0,1,0,1,2,1,0,1,0,0
0,0,0,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
