0,1,2,3,4
188,116,53,18,8
113,77,35,10,1
13,14,4,1,1
73,32,29,9,3
4,2,2,2,0
4,4,2,0,0
5,6,2,0,0
8,1,0,0,0
228,157,70,20,2
48,27,12,6,1
46,32,14,5,1
2,1,0,0,0
0,1,1,0,0
2,1,0,0,0
2,1,0,0,0
1,2,1,0,0
1,0,1,0,0
1,0,0,0,0
3,1,0,2,0
0,1,0,0,0
2,1,0,0,0
55,54,23,2,1
8,3,2,0,0
46,26,10,2,0
43,28,17,4,0
3,0,1,0,0
1,2,0,0,1
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,0,0,0
2,1,0,0,1
15,17,3,1,0
49,20,11,2,0
20,12,7,2,0
6,0,0,0,0
2,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
