0,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,121,0,0,0,0,0,0,0,0,0
0,55,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0
0,0,0,4,4,4,0,0,0,0,0
0,0,0,5,0,3,0,0,0,0,0
0,0,0,2,0,5,0,0,0,0,0
0,0,0,3,1,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0
0,0,0,50,39,0,0,0,0,0,0
0,0,0,4,3,0,0,0,0,0,0
0,0,0,5,1,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0
0,0,0,52,56,1,0,0,0,0,0
0,0,0,1,2,1,0,0,0,0,0
0,8,0,2,1,0,0,0,0,0,0
0,53,0,1,2,1,0,0,0,0,0
0,91,0,1,2,0,0,0,0,0,0
0,10,0,0,0,1,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0
0,3,0,1,0,0,0,0,0,0,0
0,2,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0
0,4,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,34,6,3,65,1,21,0,0,14
0,0,4,1,0,2,0,2,0,0,3
83,0,7,0,0,3,0,2,0,32,1
212,3,2,0,0,3,0,3,1,83,1
2,2,3,0,0,0,0,0,0,19,0
0,19,0,0,0,0,0,2,0,5,0
0,75,3,0,0,0,0,1,0,3,1
0,51,3,0,0,0,0,1,0,0,0
0,10,3,0,0,0,0,2,0,0,0
0,2,3,0,0,1,0,1,0,1,1
0,3,1,0,0,1,0,0,0,0,0
