0,1,2,3,4,5,6,7,8,9
50,112,98,270,247,78,119,76,42,34
36,59,62,141,143,59,82,53,18,19
9,3,9,22,17,4,12,5,4,1
0,4,4,3,4,3,2,0,1,0
0,1,1,1,2,0,0,1,0,0
0,0,1,0,3,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0
0,1,1,3,1,1,1,1,0,0
1,0,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,3,1,1,2,2,0,0
0,0,0,0,0,0,1,1,1,0
0,1,0,0,1,1,0,0,0,0
0,0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0
0,2,2,8,2,2,1,0,0,0
7,9,14,18,16,7,15,5,5,6
18,36,31,94,94,30,43,24,8,5
22,44,35,100,103,23,50,27,11,9
11,24,19,65,48,24,31,15,7,2
2,10,12,39,32,4,11,7,4,2
7,8,11,19,18,4,12,7,5,0
2,4,1,6,9,4,3,1,1,0
2,3,1,2,2,0,1,1,0,0
4,8,7,21,12,6,1,3,1,0
8,9,13,29,26,12,7,8,2,5
6,13,13,25,24,13,9,6,3,1
2,2,2,3,1,2,1,1,1,0
2,0,1,3,0,1,2,0,1,0
0,2,0,1,2,0,0,2,0,0
0,3,3,3,1,1,2,1,0,0
0,1,0,1,1,0,0,1,0,0
1,0,2,5,3,1,1,0,2,0
4,3,5,6,9,3,5,3,3,2
9,22,15,46,37,15,19,5,8,2
20,35,23,76,89,22,31,18,2,4
9,27,24,55,58,26,27,14,3,4
9,18,24,54,31,11,24,11,6,0
11,16,12,53,40,7,19,5,4,2
5,12,12,31,21,8,12,5,2,1
3,2,2,11,7,1,3,0,1,1
1,0,1,1,2,0,1,0,0,1
1,0,3,11,3,0,2,0,0,0
7,9,12,22,11,9,2,5,2,0
9,14,10,33,31,11,7,6,4,2
2,9,7,13,13,6,3,1,2,1
0,0,2,3,2,0,1,0,0,0
0,1,2,2,1,0,0,1,0,0
0,0,1,1,1,0,3,0,0,0
2,0,2,3,0,0,0,1,0,0
2,2,1,2,5,2,0,0,1,0
