0,1,2,3,4,5,6,7,8,9
48,103,91,260,220,69,94,53,28,17
32,53,51,125,128,51,69,45,13,10
8,3,8,21,17,3,12,3,4,1
0,4,2,3,3,3,2,0,1,0
0,1,1,1,2,0,0,1,0,0
0,0,1,0,3,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0
0,1,1,3,1,1,1,1,0,0
1,0,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,3,1,1,2,2,0,0
0,0,0,0,0,0,1,1,1,0
0,1,0,0,1,1,0,0,0,0
0,0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0
0,2,2,8,2,2,1,0,0,0
7,9,13,18,13,7,13,4,3,4
18,32,29,83,85,28,33,15,5,5
21,42,31,90,89,19,40,19,7,3
11,24,19,58,44,22,26,6,7,1
1,10,12,37,29,3,9,5,3,2
7,7,10,19,17,4,10,5,0,0
2,2,1,5,7,3,3,1,0,0
2,3,1,2,2,0,1,1,0,0
3,8,7,21,12,4,1,1,0,0
8,9,12,28,24,11,4,5,2,2
6,13,11,25,18,11,7,3,3,1
2,1,2,3,1,2,0,1,1,0
2,0,1,3,0,1,2,0,1,0
0,2,0,1,2,0,0,2,0,0
0,3,3,3,1,1,2,0,0,0
0,1,0,1,1,0,0,1,0,0
1,0,2,5,3,1,1,0,2,0
4,2,5,6,9,3,4,3,0,2
9,22,12,42,35,14,14,3,6,1
20,34,21,69,76,20,26,14,2,4
8,26,24,49,52,25,22,11,0,2
7,16,21,52,30,10,20,6,6,0
10,15,11,46,34,6,16,2,2,1
5,10,11,28,17,7,11,5,1,0
3,2,2,10,7,0,2,0,1,1
1,0,0,1,2,0,1,0,0,1
1,0,3,10,3,0,1,0,0,0
7,9,12,21,11,9,1,4,1,0
8,14,10,32,26,10,7,5,3,1
2,9,6,11,11,6,2,1,1,0
0,0,2,3,2,0,1,0,0,0
0,1,2,2,1,0,0,1,0,0
0,0,1,1,1,0,2,0,0,0
2,0,2,3,0,0,0,1,0,0
2,2,1,2,5,2,0,0,1,0
