0,1,2,3,4,5,6,7,8,9,10
261,141,80,81,70,51,58,87,67,41,46
34,45,73,62,49,63,63,42,51,46,49
0,1,4,3,6,10,9,4,8,27,8
1,2,1,0,1,2,1,0,1,7,2
0,0,0,1,0,2,0,0,0,2,1
1,0,0,2,0,0,0,1,0,0,2
0,0,0,0,1,0,0,0,0,0,0
0,0,2,2,1,2,0,0,0,0,2
0,0,0,1,0,1,0,0,0,0,1
1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0
0,0,2,5,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0
0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0
0,1,4,2,3,1,0,3,3,0,0
0,8,12,17,11,11,1,21,10,0,0
0,54,50,63,38,30,1,45,48,1,3
0,63,53,49,49,36,10,39,41,6,15
0,41,15,5,8,25,50,9,9,12,44
0,2,2,2,1,15,40,1,2,23,23
0,0,2,3,0,1,17,0,1,42,13
1,0,0,1,0,1,1,0,1,17,2
7,0,0,1,0,2,0,0,1,0,1
54,0,0,0,0,0,0,0,0,0,3
102,0,0,1,1,0,0,0,0,1,0
89,2,1,1,1,1,1,0,2,0,0
11,0,0,1,0,0,0,0,0,0,1
1,1,0,3,1,0,0,0,1,2,1
0,0,3,0,1,0,0,0,1,0,2
0,2,1,4,1,2,0,1,0,1,1
0,0,0,3,0,1,0,0,0,0,0
0,1,5,4,1,2,0,0,0,2,0
0,4,13,12,3,3,0,2,1,0,0
0,18,45,45,12,11,1,22,1,0,3
1,68,59,49,38,18,1,44,6,2,0
0,57,10,12,36,27,10,32,17,2,16
0,7,3,3,9,30,32,12,26,9,37
0,2,2,2,1,18,30,2,30,34,22
0,0,0,3,0,3,27,1,16,32,13
0,1,0,0,0,1,3,0,4,14,5
1,0,0,0,0,1,0,0,1,2,1
12,1,0,1,0,1,1,0,0,2,0
70,1,0,0,0,3,0,1,0,0,0
106,2,0,2,0,1,2,0,1,1,1
49,0,0,0,0,0,0,0,0,0,0
5,1,0,0,1,0,0,0,1,0,0
0,1,0,1,1,1,0,0,1,0,2
0,0,0,3,0,0,0,0,1,0,1
0,2,0,3,0,0,0,0,0,2,1
2,1,1,7,0,0,1,0,2,0,1
