0,1,2,3,4
489,308,138,39,9
274,186,88,26,3
37,30,11,1,1
8,5,3,2,0
2,4,0,0,0
2,4,0,0,0
0,0,0,1,0
6,2,1,0,0
1,2,0,0,0
1,2,0,0,0
0,0,1,0,0
5,5,0,0,0
0,1,1,1,0
1,1,1,0,0
1,0,1,0,0
1,0,1,0,0
8,5,4,0,0
45,27,14,4,1
164,110,44,13,2
197,104,50,10,0
115,68,24,9,2
51,38,12,8,2
27,37,11,4,0
11,9,3,0,1
6,3,3,0,0
28,20,9,0,0
51,28,20,6,0
43,38,15,2,0
7,6,0,0,0
6,3,1,0,0
2,2,3,0,0
5,7,1,0,0
3,1,0,0,0
6,5,4,0,0
13,16,8,1,0
81,47,25,5,0
168,84,31,3,0
117,67,26,6,3
87,49,22,9,1
70,46,19,8,0
39,40,12,4,0
14,11,2,1,0
2,1,3,0,0
8,6,4,0,0
32,32,8,3,0
60,34,19,3,0
24,16,8,0,1
4,3,1,0,0
5,2,0,0,0
3,1,1,0,0
3,5,0,0,0
6,5,4,0,0
