0,1,2,3,4,5,6,7,8,9,10
307,164,87,89,85,63,64,94,75,48,50
37,51,90,71,59,73,73,46,63,52,57
0,1,4,4,6,12,9,5,8,28,9
1,2,1,0,1,2,1,0,1,10,2
0,0,0,1,0,2,0,0,0,2,1
1,0,0,2,0,0,0,1,0,0,2
0,0,0,0,1,0,0,0,0,0,0
0,0,2,2,1,2,0,0,0,0,2
0,0,0,1,0,1,0,0,0,0,1
1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0
0,0,2,5,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0
0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0
0,1,4,2,3,1,0,3,3,0,0
0,9,14,19,14,12,1,23,10,0,0
0,59,59,68,44,36,1,54,58,1,3
0,76,66,57,57,39,12,46,46,7,18
0,44,15,5,12,26,57,10,10,18,49
0,2,2,2,1,17,44,1,2,25,27
0,0,2,4,0,1,18,1,1,50,14
1,0,0,1,0,1,1,0,1,24,2
7,0,0,1,0,2,0,0,1,0,1
60,0,0,0,0,0,0,0,0,0,3
116,0,0,1,1,0,0,0,0,1,0
104,2,1,1,1,1,1,0,2,0,0
13,0,0,1,0,0,0,0,0,0,1
1,1,0,3,1,0,0,0,1,2,1
0,0,3,0,1,0,0,0,1,0,2
0,2,1,4,1,2,0,1,1,1,1
0,0,0,3,0,1,0,0,0,0,0
0,1,5,4,1,2,0,0,0,2,0
0,4,16,14,3,3,0,2,1,0,0
0,20,52,53,13,13,1,22,1,0,3
1,78,61,60,43,20,1,46,7,2,1
0,63,11,13,44,30,10,37,20,2,17
0,8,3,3,9,33,39,13,28,10,42
0,2,3,2,2,19,35,2,39,39,26
0,0,0,3,0,6,32,1,18,36,13
0,1,0,0,0,1,4,0,5,14,6
1,0,0,0,0,1,0,0,2,2,1
14,1,0,1,0,1,1,0,0,2,0
74,1,0,0,0,3,0,1,0,0,0
117,2,0,2,0,1,2,0,1,1,1
57,0,0,0,0,0,0,0,0,0,0
5,1,0,0,1,0,0,0,1,0,0
0,1,0,1,1,1,0,0,1,0,2
0,0,0,4,0,0,0,0,1,0,1
0,2,0,3,0,0,0,0,0,2,1
2,1,1,7,0,0,1,0,2,0,1
