0,1,2,3,4
541,351,170,50,14
318,215,99,32,8
40,32,12,1,1
9,6,4,2,0
2,4,0,0,0
2,4,0,0,0
0,0,0,1,0
6,2,1,0,0
1,2,0,0,0
1,2,0,0,0
0,0,1,0,0
5,5,0,0,0
0,1,1,1,0
1,1,1,0,0
1,0,1,0,0
1,0,1,0,0
8,5,4,0,0
51,29,17,4,1
184,124,54,16,5
223,126,59,14,2
127,76,30,11,2
56,42,15,8,2
31,39,14,6,1
14,13,3,0,1
6,3,3,0,0
32,22,9,0,0
58,33,21,7,0
48,43,19,3,0
7,7,0,0,1
6,3,1,0,0
2,2,3,0,0
5,8,1,0,0
3,1,0,0,0
6,5,4,0,0
13,16,13,1,0
91,53,26,7,1
182,96,37,5,0
129,76,30,9,3
95,54,24,14,1
78,59,20,11,1
43,45,15,5,1
15,11,4,1,0
3,1,3,0,0
9,7,4,0,0
34,33,9,3,0
63,37,22,5,0
29,18,9,0,1
4,3,1,0,0
5,2,0,0,0
4,1,1,0,0
3,5,0,0,0
6,5,4,0,0
