0,1,2,3,4,5,6,7,8,9
2,9,7,10,27,9,25,23,14,17
4,6,11,16,15,8,13,8,5,9
1,0,1,1,0,1,0,2,0,0
0,0,2,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,3,0,2,1,2,2
0,4,2,11,9,2,10,9,3,0
1,2,4,10,14,4,10,8,4,6
0,0,0,7,4,2,5,9,0,1
1,0,0,2,3,1,2,2,1,0
0,1,1,0,1,0,2,2,5,0
0,2,0,1,2,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2,0,2,1,0
0,0,1,1,2,1,3,3,0,3
0,0,2,0,6,2,2,3,0,0
0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,3,0
0,0,3,4,2,1,5,2,2,1
0,1,2,7,13,2,5,4,0,0
1,1,0,6,6,1,5,3,3,2
2,2,3,2,1,1,4,5,0,0
1,1,1,7,6,1,3,3,2,1
0,2,1,3,4,1,1,0,1,1
0,0,0,1,0,1,1,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,1,1,1,0
1,0,0,1,5,1,0,1,1,1
0,0,1,2,2,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
