0,1,2,3,4,5,6,7,8,9,10
46,23,7,8,15,12,6,7,8,7,4
3,6,17,9,10,10,10,4,12,6,8
0,0,0,1,0,2,0,1,0,1,1
0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,2,2,3,1,0,2,0,0,0
0,5,9,5,6,6,0,9,10,0,0
0,13,13,8,8,3,2,7,5,1,3
0,3,0,0,4,1,7,1,1,6,5
0,0,0,0,0,2,4,0,0,2,4
0,0,0,1,0,0,1,1,0,8,1
0,0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0
0,2,7,8,1,2,0,0,0,0,0
0,10,2,11,5,2,0,2,1,0,1
0,6,1,1,8,3,0,5,3,0,1
0,1,0,0,0,3,7,1,2,1,5
0,0,1,0,1,1,5,0,9,5,4
0,0,0,0,0,3,5,0,2,4,0
0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
