0,1,2,3,4
52,43,32,11,5
44,29,11,6,5
3,2,1,0,0
1,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6,2,3,0,0
20,14,10,3,3
26,22,9,4,2
12,8,6,2,0
5,4,3,0,0
4,2,3,2,1
3,4,0,0,0
0,0,0,0,0
4,2,0,0,0
7,5,1,1,0
5,5,4,1,0
0,1,0,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,5,0,0
10,6,1,2,1
14,12,6,2,0
12,9,4,3,0
8,5,2,5,0
8,13,1,3,1
4,5,3,1,1
1,0,2,0,0
1,0,0,0,0
1,1,0,0,0
2,1,1,0,0
3,3,3,2,0
5,2,1,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
