0,1,2,3,4,5,6,7,8,9
0,1,3,2,7,1,9,9,3,6
5,12,9,16,30,14,27,20,13,18
1,2,6,8,5,3,2,4,3,2
1,0,3,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2
0,0,1,3,7,0,5,4,4,0
0,5,3,12,10,5,12,12,2,6
1,1,3,12,12,2,8,7,2,1
1,0,0,1,2,1,2,5,1,0
0,1,1,2,2,1,4,1,5,0
0,1,0,1,2,0,0,2,1,0
0,1,0,0,1,1,0,0,0,0
0,0,0,0,0,2,0,0,1,0
1,0,0,0,2,1,1,2,0,1
0,0,2,1,5,2,4,6,0,2
0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,0
0,1,2,0,1,1,2,2,2,0
0,1,3,6,6,1,5,1,1,1
1,0,0,8,10,2,7,4,2,0
1,1,0,3,4,1,3,3,1,2
1,1,3,6,3,0,3,6,1,1
1,3,1,6,7,2,2,1,2,0
0,1,1,1,1,0,2,0,0,1
0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,2,1,0,0
0,0,0,0,4,0,0,1,1,0
1,0,1,2,3,1,0,0,2,2
0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
