0,1,2,3,4
13,11,8,6,3
66,51,33,9,5
17,12,3,2,2
3,1,1,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0,0
10,7,6,1,0
26,24,8,4,5
23,9,13,4,0
6,6,1,0,0
5,5,4,2,1
5,1,1,0,0
0,3,0,0,0
2,1,0,0,0
5,2,0,1,0
9,8,5,0,0
0,2,0,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,3,0,0
3,3,3,1,1
13,9,2,1,0
14,10,6,4,0
6,7,3,3,0
8,10,1,5,1
11,8,3,2,1
2,3,2,0,0
1,0,1,0,0
0,0,0,0,0
2,2,1,0,0
3,2,1,0,0
5,2,3,2,0
1,1,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
