0,1,2,3,4,5,6,7,8,9
52,113,122,278,277,95,134,94,40,40
22,29,23,94,77,31,49,31,15,8
7,4,8,8,9,3,7,0,2,1
0,0,2,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,2,2,7,1,3,3,1,0,0
11,19,18,33,34,8,20,4,5,7
22,45,37,115,105,32,50,34,11,7
15,35,33,90,86,30,42,22,9,5
12,14,12,42,41,11,27,12,7,1
5,11,10,33,27,5,6,7,2,2
2,5,7,17,17,5,13,5,5,0
1,1,0,1,1,2,0,0,1,0
2,2,3,3,3,3,1,1,0,0
5,12,9,22,18,8,4,5,1,0
8,7,14,32,27,9,7,6,2,5
4,11,9,19,13,12,5,6,4,1
1,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,2,1,0,0
0,1,0,2,1,0,0,1,0,0
1,0,2,3,1,2,2,0,0,0
5,3,7,10,21,4,4,6,5,2
11,30,20,60,45,20,23,4,4,4
17,38,22,76,87,22,33,20,1,3
9,17,20,43,43,20,30,14,5,3
8,18,23,59,37,10,17,5,5,1
10,13,15,40,33,9,17,7,5,1
6,9,9,27,19,3,9,2,1,1
1,1,0,6,3,1,2,0,0,0
0,0,1,1,0,0,0,0,0,0
4,2,4,14,3,2,1,1,0,0
5,12,15,24,19,10,2,6,2,1
9,11,7,28,27,11,7,2,4,2
1,7,6,8,5,3,1,1,1,0
0,1,0,1,0,0,1,1,0,0
0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0
1,0,2,3,0,0,0,0,0,0
1,1,2,4,4,1,1,0,0,0
