0,1,2,3,4
595,394,188,55,13
186,119,49,20,5
18,23,6,2,0
4,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12,3,4,0,0
74,46,32,6,1
225,149,61,17,6
195,108,48,14,2
92,56,20,11,0
43,42,14,7,2
30,30,12,3,1
2,4,1,0,0
10,4,4,0,0
40,28,14,2,0
54,37,21,5,0
37,33,10,3,1
2,1,0,0,0
0,1,0,0,0
0,1,0,0,0
1,2,1,0,0
4,1,0,0,0
1,4,6,0,0
24,27,12,3,1
118,68,30,5,0
181,93,37,7,1
105,59,27,10,3
89,61,22,11,0
70,50,18,11,1
34,35,13,3,1
4,8,2,0,0
1,0,1,0,0
15,10,5,1,0
47,34,12,3,0
49,34,21,4,0
16,11,5,0,1
2,2,0,0,0
2,0,0,0,0
1,0,0,0,0
1,4,1,0,0
7,6,1,0,0
