0,1,2,3,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
487,306,137,39,9
276,188,89,26,3
37,30,10,1,1
4,4,2,1,0
5,2,2,1,0
1,3,0,0,0
2,4,0,0,0
0,0,0,1,0
6,2,1,0,0
1,2,0,0,0
1,2,0,0,0
0,0,1,0,0
5,5,0,0,0
0,1,1,1,0
1,1,1,0,0
1,0,1,0,0
5,3,5,0,0
48,26,13,4,1
160,109,44,13,2
202,108,51,10,0
114,66,24,9,1
47,40,12,8,3
31,33,10,3,0
8,12,3,1,0
10,3,4,0,1
28,21,8,0,0
48,28,21,6,0
42,34,13,2,0
10,10,2,0,0
1,1,0,0,0
6,2,1,0,0
3,4,4,0,0
7,6,0,0,0
2,2,3,0,0
17,19,8,1,0
77,46,25,4,0
167,84,31,4,0
117,66,27,5,3
90,49,22,10,1
70,47,18,8,0
38,41,13,3,0
17,10,1,2,0
0,2,2,0,0
8,4,6,0,0
32,31,7,3,0
56,35,20,3,0
30,18,8,0,1
3,2,0,0,0
