0,1,2,3,4,5,6,7,8,9,10
11,10,3,2,2,3,1,1,2,3,2
28,15,10,11,16,13,11,4,12,7,6
0,0,7,3,0,3,3,2,1,4,3
0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0
0,0,2,3,7,2,0,6,3,0,0
0,10,14,7,4,6,1,4,7,0,1
0,6,5,0,6,2,4,4,3,4,4
0,1,0,0,0,1,4,0,0,1,2
0,0,0,1,0,0,2,1,0,7,3
0,0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,2,2,0,0,0,0,0,0,0
0,1,2,1,0,1,0,0,0,0,0
0,4,2,13,4,1,0,1,0,0,1
0,7,2,3,6,3,0,3,0,0,0
0,2,0,0,2,3,2,3,1,0,2
0,0,0,0,1,1,7,0,2,3,4
0,0,1,0,0,1,4,0,6,5,2
0,0,0,0,0,2,0,0,2,0,0
0,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
